,Unnamed: 0.1,Unnamed: 0,Date,Delivery Date,Name,Customer,Customer Name,Shipping Address,Item Code,Item Name,Qty as per Stock UOM,Delivered Qty
0,0,0,2023-10-19,2024-01-25,CC-23-90047227,CLI-3178,CONRARD ET NAU,"SARL AMBAL'DIS, 1 RUE DU TROU AUX SERPENTS, 57050 METZ, France ",95198,"Nappe Daisy Ocre, Blanc et Vert 1,45x2,40m",12,12.0
1,1,1,2023-10-19,2024-01-25,CC-23-90047227,CLI-3178,CONRARD ET NAU,"SARL AMBAL'DIS, 1 RUE DU TROU AUX SERPENTS, 57050 METZ, France ",95000,8 Gobelets Jardin Botanique Carton Vert Sauge et Blanc 255ml ,20,20.0
2,2,2,2023-10-19,2024-01-25,CC-23-90047227,CLI-3178,CONRARD ET NAU,"SARL AMBAL'DIS, 1 RUE DU TROU AUX SERPENTS, 57050 METZ, France ",94909,"Chemin de Table ""Pour Toujours Mon Amour"" Love to Love Tissu Blush Rose et Or 28cmx5m",20,20.0
3,3,3,2023-10-19,2024-01-25,CC-23-90047227,CLI-3178,CONRARD ET NAU,"SARL AMBAL'DIS, 1 RUE DU TROU AUX SERPENTS, 57050 METZ, France ",94902,"Chemin de Table ""Communion"" Mousseline Blanc et Or 28cmx5m",30,30.0
4,4,4,2023-10-19,2024-01-25,CC-23-90047227,CLI-3178,CONRARD ET NAU,"SARL AMBAL'DIS, 1 RUE DU TROU AUX SERPENTS, 57050 METZ, France ",95047,6 Roses Vieux Rose et Vert sur Tige 10x9cm,12,12.0
